21:30:36 starting MCP server...
21:30:40 MCP ready, 112 tools
21:30:52 get_game_overview ok=True focus_fail=0 8.3s
21:30:57 get_tech_civics ok=True focus_fail=0 4.5s
21:31:02 get_cities ok=True focus_fail=0 3.8s
21:31:05 get_city_production ok=True focus_fail=0 3.3s
21:31:09 set_city_production ok=True focus_fail=0 3.4s
21:31:13 get_pending_trades ok=True focus_fail=0 3.9s
21:31:17 get_pending_diplomacy ok=True focus_fail=0 3.7s
21:31:22 get_diplomacy ok=True focus_fail=0 4.1s
21:31:26 get_dedications ok=True focus_fail=0 3.9s
21:31:31 get_city_states ok=True focus_fail=0 4.1s
21:31:35 get_world_congress ok=True focus_fail=0 4.1s
21:31:40 queue_wc_votes ok=True focus_fail=0 4.0s
21:31:44 skip_remaining_units ok=True focus_fail=0 3.8s
21:31:49 dismiss_popup ok=True focus_fail=1 4.7s
21:35:24 end_turn ok=True focus_fail=12 214.5s
21:35:26 get_game_overview ok=True focus_fail=2 2.1s
